date,index,start,end,type,P,dD,dD_dev,dO,dO_dev,d_excess,min_temp,max_temp,temp,precip,duration,gwt,gwt2
143,2017-05-06,143,2017-05-06 16:00:00,2017-05-06 20:00:00,R,0.3,-19.62,0.25,-3.02,0.04,4.54,11.18,13.03,11.88,0.9,5,N,Meridional
144,2017-05-06,144,2017-05-06 20:00:00,2017-05-07,R,0.5,-21.28,0.21,-3.83,0.06,9.36,10.8,11.18,10.98,0.5,5,N,Meridional
145,2017-05-07,145,2017-05-07,2017-05-07 04:00:00,R,0.4,-22.45,0.27,-4.11,0.08,10.43,10.68,10.88,10.7,0.4,5,N,Meridional
146,2017-05-07,146,2017-05-07 04:00:00,2017-05-07 08:00:00,R,0.4,-21.78,0.11,-4.5,0.04,14.22,10.6,11.58,10.68,0.7,5,N,Meridional
147,2017-05-07,147,2017-05-07 08:00:00,2017-05-07 12:00:00,R,0,-19.26,0.14,-4.09,0.09,13.46,11.58,13.78,12.18,0.1,5,N,Meridional
148,2017-05-11,148,2017-05-11 20:00:00,2017-05-12,R,0.1,-31.28,0.1,-3.68,0.04,-1.84,12.48,13.35,12.8,0.1,5,S,Meridional
149,2017-05-12,149,2017-05-12,2017-05-12 04:00:00,R,0.3,-46.65,0.28,-6.25,0.03,3.35,12.15,12.48,12.2,0.3,5,S,Meridional
150,2017-05-12,150,2017-05-12 08:00:00,2017-05-12 12:00:00,R,0.2,-43.84,0.13,-5.4,0.06,-0.640000000000001,14.18,19.6,17.35,0.2,5,S,Meridional
151,2017-05-12,151,2017-05-12 16:00:00,2017-05-12 20:00:00,R,0.1,-37.91,0.17,-3.33,0.01,-11.27,15.1,17.88,16.68,0.1,5,S,Meridional
152,2017-05-13,152,2017-05-13 20:00:00,2017-05-14,R,0.2,-31.25,0.13,-3.38,0.05,-4.21,8.63,14.93,11.18,0.2,5,W,Zonal
153,2017-05-14,153,2017-05-14,2017-05-14 04:00:00,R,0.1,-34.86,0.21,-4.12,0.01,-1.9,6.1,8.63,8.2,0.1,5,W,Zonal
154,2017-05-14,154,2017-05-14 08:00:00,2017-05-14 12:00:00,R,0.1,-34.55,0.33,-4.71,0.11,3.13,14.9,19.25,16.7,0.1,5,W,Zonal
155,2017-05-14,155,2017-05-14 16:00:00,2017-05-14 20:00:00,R,1.8,-33.73,0.26,-5.27,0.04,8.43,12.9,18.5,15.03,1.8,5,W,Zonal
